gisaid_epi_isl,Region,Lab,Date
EPI_ISL_356294_2019-01-11,Africa,Africa,2019.027397
EPI_ISL_363934_2019-01-21,Africa,Africa,2019.054795
EPI_ISL_363090_2019-01-03,Africa,Africa,2019.005479
EPI_ISL_367811_2019-01-24,Africa,Africa,2019.063014
EPI_ISL_363869_2019-01-31,Africa,Africa,2019.082192
EPI_ISL_393572_2019-02-28,Africa,Africa,2019.158904
EPI_ISL_377867_2019-02-05,Africa,Africa,2019.09589
EPI_ISL_363877_2019-02-04,Africa,Africa,2019.093151
EPI_ISL_393604_2019-02-27,Africa,Africa,2019.156164
EPI_ISL_362232_2019-02-26,Africa,Africa,2019.153425
EPI_ISL_362250_2019-03-19,Africa,Africa,2019.210959
EPI_ISL_363897_2019-03-05,Africa,Africa,2019.172603
EPI_ISL_366006_2019-03-25,Africa,Africa,2019.227397
EPI_ISL_393987_2019-03-27,Africa,Africa,2019.232877
EPI_ISL_394039_2019-03-14,Africa,Africa,2019.19726
EPI_ISL_387028_2019-04-17,Africa,Africa,2019.290411
EPI_ISL_394041_2019-04-23,Africa,Africa,2019.306849
EPI_ISL_395103_2019-04-03,Africa,Africa,2019.252055
EPI_ISL_368194_2019-04-03,Africa,Africa,2019.252055
EPI_ISL_376961_2019-04-12,Africa,Africa,2019.276712
EPI_ISL_395591_2019-05-28,Africa,Africa,2019.40274
EPI_ISL_393985_2019-05-24,Africa,Africa,2019.391781
EPI_ISL_398772_2019-05-28,Africa,Africa,2019.40274
EPI_ISL_393757_2019-05-20,Africa,Africa,2019.380822
EPI_ISL_388759_2019-05-22,Africa,Africa,2019.386301
EPI_ISL_393780_2019-06-21,Africa,Africa,2019.468493
EPI_ISL_395333_2019-06-26,Africa,Africa,2019.482192
EPI_ISL_395366_2019-06-24,Africa,Africa,2019.476712
EPI_ISL_388765_2019-06-05,Africa,Africa,2019.424658
EPI_ISL_393993_2019-06-06,Africa,Africa,2019.427397
EPI_ISL_394950_2019-07-09,Africa,Africa,2019.517808
EPI_ISL_395329_2019-07-03,Africa,Africa,2019.50137
EPI_ISL_395342_2019-07-27,Africa,Africa,2019.567123
EPI_ISL_390123_2019-07-19,Africa,Africa,2019.545205
EPI_ISL_394948_2019-07-17,Africa,Africa,2019.539726
EPI_ISL_409100_2019-08-29,Africa,Africa,2019.657534
EPI_ISL_409415_2019-08-28,Africa,Africa,2019.654795
EPI_ISL_406170_2019-08-05,Africa,Africa,2019.591781
EPI_ISL_395340_2019-08-10,Africa,Africa,2019.605479
EPI_ISL_395339_2019-08-11,Africa,Africa,2019.608219
EPI_ISL_409411_2019-09-12,Africa,Africa,2019.69589
EPI_ISL_402773_2019-10-01,Africa,Africa,2019.747945
EPI_ISL_400792_2019-09-29,Africa,Africa,2019.742466
EPI_ISL_400790_2019-09-27,Africa,Africa,2019.736986
EPI_ISL_406171_2019-09-18,Africa,Africa,2019.712329
EPI_ISL_402770_2019-10-14,Africa,Africa,2019.783562
EPI_ISL_402771_2019-10-14,Africa,Africa,2019.783562
EPI_ISL_409449_2019-10-24,Africa,Africa,2019.810959
EPI_ISL_406174_2019-10-28,Africa,Africa,2019.821918
EPI_ISL_402766_2019-10-25,Africa,Africa,2019.813699
EPI_ISL_409349_2019-11-24,Africa,Africa,2019.89589
EPI_ISL_407478_2019-11-11,Africa,Africa,2019.860274
EPI_ISL_409356_2019-11-05,Africa,Africa,2019.843836
EPI_ISL_409361_2019-11-04,Africa,Africa,2019.841096
EPI_ISL_406178_2019-11-16,Africa,Africa,2019.873973
EPI_ISL_402769_2019-12-22,Africa,Africa,2019.972603
EPI_ISL_409343_2019-12-03,Africa,Africa,2019.920548
EPI_ISL_342097_2019-01-14,Europe,Europe,2019.035616
EPI_ISL_346319_2019-01-12,Europe,Europe,2019.030137
EPI_ISL_366669_2019-01-28,Europe,Europe,2019.073973
EPI_ISL_342077_2019-01-19,Europe,Europe,2019.049315
EPI_ISL_355127_2019-01-14,Europe,Europe,2019.035616
EPI_ISL_364744_2019-02-12,Europe,Europe,2019.115068
EPI_ISL_354669_2019-02-27,Europe,Europe,2019.156164
EPI_ISL_355227_2019-02-15,Europe,Europe,2019.123288
EPI_ISL_340913_2019-02-04,Europe,Europe,2019.093151
EPI_ISL_355223_2019-02-11,Europe,Europe,2019.112329
EPI_ISL_357864_2019-03-11,Europe,Europe,2019.189041
EPI_ISL_364326_2019-03-19,Europe,Europe,2019.210959
EPI_ISL_378219_2019-04-01,Europe,Europe,2019.246575
EPI_ISL_356573_2019-03-07,Europe,Europe,2019.178082
EPI_ISL_387026_2019-03-04,Europe,Europe,2019.169863
EPI_ISL_378230_2019-04-29,Europe,Europe,2019.323288
EPI_ISL_357440_2019-04-26,Europe,Europe,2019.315068
EPI_ISL_389043_2019-04-29,Europe,Europe,2019.323288
EPI_ISL_356527_2019-04-03,Europe,Europe,2019.252055
EPI_ISL_356700_2019-04-11,Europe,Europe,2019.273973
EPI_ISL_378575_2019-05-25,Europe,Europe,2019.394521
EPI_ISL_378209_2019-05-28,Europe,Europe,2019.40274
EPI_ISL_362098_2019-05-05,Europe,Europe,2019.339726
EPI_ISL_398125_2019-05-03,Europe,Europe,2019.334247
EPI_ISL_405978_2019-05-24,Europe,Europe,2019.391781
EPI_ISL_405997_2019-06-24,Europe,Europe,2019.476712
EPI_ISL_405996_2019-06-23,Europe,Europe,2019.473973
EPI_ISL_387040_2019-06-05,Europe,Europe,2019.424658
EPI_ISL_389257_2019-06-17,Europe,Europe,2019.457534
EPI_ISL_389266_2019-06-09,Europe,Europe,2019.435616
EPI_ISL_406600_2019-07-22,Europe,Europe,2019.553425
EPI_ISL_405970_2019-07-13,Europe,Europe,2019.528767
EPI_ISL_394029_2019-07-30,Europe,Europe,2019.575342
EPI_ISL_405326_2019-07-08,Europe,Europe,2019.515068
EPI_ISL_390582_2019-07-09,Europe,Europe,2019.517808
EPI_ISL_389322_2019-08-04,Europe,Europe,2019.589041
EPI_ISL_390595_2019-08-10,Europe,Europe,2019.605479
EPI_ISL_389331_2019-08-09,Europe,Europe,2019.60274
EPI_ISL_405974_2019-08-16,Europe,Europe,2019.621918
EPI_ISL_406612_2019-08-05,Europe,Europe,2019.591781
EPI_ISL_402057_2019-09-02,Europe,Europe,2019.668493
EPI_ISL_406658_2019-09-02,Europe,Europe,2019.668493
EPI_ISL_404068_2019-09-22,Europe,Europe,2019.723288
EPI_ISL_396431_2019-09-30,Europe,Europe,2019.745205
EPI_ISL_402014_2019-09-06,Europe,Europe,2019.679452
EPI_ISL_399829_2019-10-21,Europe,Europe,2019.80274
EPI_ISL_399814_2019-10-09,Europe,Europe,2019.769863
EPI_ISL_399809_2019-10-06,Europe,Europe,2019.761644
EPI_ISL_398159_2019-10-31,Europe,Europe,2019.830137
EPI_ISL_401556_2019-10-10,Europe,Europe,2019.772603
EPI_ISL_403308_2019-11-23,Europe,Europe,2019.893151
EPI_ISL_405212_2019-11-18,Europe,Europe,2019.879452
EPI_ISL_405092_2019-11-18,Europe,Europe,2019.879452
EPI_ISL_405185_2019-11-15,Europe,Europe,2019.871233
EPI_ISL_408012_2019-11-21,Europe,Europe,2019.887671
EPI_ISL_402930_2019-12-24,Europe,Europe,2019.978082
EPI_ISL_410141_2019-12-24,Europe,Europe,2019.978082
EPI_ISL_406326_2019-12-23,Europe,Europe,2019.975342
EPI_ISL_410422_2019-12-20,Europe,Europe,2019.967123
EPI_ISL_409365_2019-12-07,Europe,Europe,2019.931507
EPI_ISL_362239_2019-01-14,South America,South America,2019.035616
EPI_ISL_346094_2019-01-03,South America,South America,2019.005479
EPI_ISL_353709_2019-01-11,South America,South America,2019.027397
EPI_ISL_355844_2019-01-04,South America,South America,2019.008219
EPI_ISL_349689_2019-01-11,South America,South America,2019.027397
EPI_ISL_355847_2019-02-19,South America,South America,2019.134247
EPI_ISL_377874_2019-02-04,South America,South America,2019.093151
EPI_ISL_355848_2019-02-13,South America,South America,2019.117808
EPI_ISL_353971_2019-02-27,South America,South America,2019.156164
EPI_ISL_362234_2019-02-04,South America,South America,2019.093151
EPI_ISL_378075_2019-03-26,South America,South America,2019.230137
EPI_ISL_389461_2019-03-13,South America,South America,2019.194521
EPI_ISL_403671_2019-03-09,South America,South America,2019.183562
EPI_ISL_353975_2019-03-12,South America,South America,2019.191781
EPI_ISL_353974_2019-03-05,South America,South America,2019.172603
EPI_ISL_392546_2019-04-20,South America,South America,2019.29863
EPI_ISL_368189_2019-04-11,South America,South America,2019.273973
EPI_ISL_362345_2019-04-16,South America,South America,2019.287671
EPI_ISL_377853_2019-04-15,South America,South America,2019.284932
EPI_ISL_377929_2019-04-16,South America,South America,2019.287671
EPI_ISL_365970_2019-05-06,South America,South America,2019.342466
EPI_ISL_395245_2019-05-06,South America,South America,2019.342466
EPI_ISL_392539_2019-05-31,South America,South America,2019.410959
EPI_ISL_378080_2019-05-25,South America,South America,2019.394521
EPI_ISL_366002_2019-05-21,South America,South America,2019.383562
EPI_ISL_394927_2019-06-21,South America,South America,2019.468493
EPI_ISL_390135_2019-06-13,South America,South America,2019.446575
EPI_ISL_380096_2019-06-14,South America,South America,2019.449315
EPI_ISL_395244_2019-06-30,South America,South America,2019.493151
EPI_ISL_386976_2019-06-28,South America,South America,2019.487671
EPI_ISL_394943_2019-08-01,South America,South America,2019.580822
EPI_ISL_394922_2019-07-10,South America,South America,2019.520548
EPI_ISL_394945_2019-07-08,South America,South America,2019.515068
EPI_ISL_398979_2019-07-24,South America,South America,2019.558904
EPI_ISL_395253_2019-07-24,South America,South America,2019.558904
EPI_ISL_393605_2019-08-05,South America,South America,2019.591781
EPI_ISL_398978_2019-08-27,South America,South America,2019.652055
EPI_ISL_403672_2019-08-31,South America,South America,2019.663014
EPI_ISL_391476_2019-08-09,South America,South America,2019.60274
EPI_ISL_394939_2019-08-19,South America,South America,2019.630137
EPI_ISL_401010_2019-09-06,South America,South America,2019.679452
EPI_ISL_403674_2019-09-22,South America,South America,2019.723288
EPI_ISL_402510_2019-09-11,South America,South America,2019.693151
EPI_ISL_403665_2019-09-13,South America,South America,2019.69863
EPI_ISL_402464_2019-09-04,South America,South America,2019.673973
EPI_ISL_404535_2019-10-26,South America,South America,2019.816438
EPI_ISL_401006_2019-10-03,South America,South America,2019.753425
EPI_ISL_404536_2019-10-16,South America,South America,2019.789041
EPI_ISL_410134_2019-10-23,South America,South America,2019.808219
EPI_ISL_409066_2019-10-22,South America,South America,2019.805479
EPI_ISL_409428_2019-11-22,South America,South America,2019.890411
EPI_ISL_402400_2019-11-16,South America,South America,2019.873973
EPI_ISL_409418_2019-11-13,South America,South America,2019.865753
EPI_ISL_409379_2019-11-20,South America,South America,2019.884932
EPI_ISL_402491_2019-11-23,South America,South America,2019.893151
EPI_ISL_402522_2019-12-02,South America,South America,2019.917808
EPI_ISL_409065_2019-12-05,South America,South America,2019.926027
EPI_ISL_409068_2019-12-11,South America,South America,2019.942466
EPI_ISL_409422_2019-12-21,South America,South America,2019.969863
EPI_ISL_394816_2019-01-05,North America,North America,2019.010959
EPI_ISL_369775_2019-01-12,North America,North America,2019.030137
EPI_ISL_339855_2019-01-10,North America,North America,2019.024658
EPI_ISL_394703_2019-01-22,North America,North America,2019.057534
EPI_ISL_358635_2019-01-17,North America,North America,2019.043836
EPI_ISL_347958_2019-02-19,North America,North America,2019.134247
EPI_ISL_359498_2019-02-27,North America,North America,2019.156164
EPI_ISL_359484_2019-02-20,North America,North America,2019.136986
EPI_ISL_366817_2019-02-25,North America,North America,2019.150685
EPI_ISL_359490_2019-02-22,North America,North America,2019.142466
EPI_ISL_394760_2019-03-24,North America,North America,2019.224658
EPI_ISL_360082_2019-03-08,North America,North America,2019.180822
EPI_ISL_360095_2019-03-14,North America,North America,2019.19726
